编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-02029	镀锌螺丝套件	表面: 镀锌；规格: M12*30	紧固件/螺丝套件	套	镀锌螺丝M12*30	套件内容/强度等级缺失
REVIEW-MAT-02030	双色接地线	品牌: 起帆；用途: 接地；截面积: 16平方；颜色: 双色	电气/电线电缆	米	起帆双色接地线16平方	状态：可建档 | 可合并；具体颜色/型号缺失 | 与3187同类，具体颜色缺失
REVIEW-MAT-02031	绝缘电阻表	品牌: 人民；测试电压: 500V；量程: 500兆欧	仪表/电气仪表	只	人民摇表500V-500兆欧	精度/型号缺失
REVIEW-MAT-02032	洗洁精	包装: 2KG	清洁耗材/清洁剂	桶	洗洁精2KG	品牌/用途缺失
REVIEW-MAT-02033	气动油	品牌: 卡仕顿；等级: 特级；容量: 250mL	油品/润滑油	瓶	卡仕顿特级气动油250mL	粘度等级/型号缺失 | 粘度等级/SDS缺失
REVIEW-MAT-02034	时控开关	品牌: 施耐德；电压: 220V；额定电流: 10A	电气/低压电器	只	施耐德时控开关220V/10A	型号/程序功能缺失
REVIEW-MAT-02035	绝缘橡胶板	特性: 绝缘；厚度: 3mm	绝缘材料/橡胶板	KG	绝缘橡胶板3mm	耐压等级/宽度长度缺失
REVIEW-MAT-02036	插座	型号: DKJ35-50；颜色: 黑色	电气/插头插座	只	DKJ35-50黑色插座	额定电流/接口类型缺失
REVIEW-MAT-02037	工字钢	规格: 16#	钢材/型钢	米	工字钢16#	材质/标准缺失
REVIEW-MAT-02038	交流接触器	品牌: 人民；系列/型号: CJX2-1810	电气/低压电器	只	人民交流接触器CJX2-1810	线圈电压缺失
REVIEW-MAT-02039	冷压线鼻端子	类型: OT；规格: 2.5-4	电气/接线端子	包	冷压线鼻端子OT2.5-4	材质/每包数量缺失
REVIEW-MAT-02040	冷压线鼻端子	类型: OT；规格: 4-6	电气/接线端子	包	冷压线鼻端子OT4-6	材质/每包数量缺失
REVIEW-MAT-02041	冷压线鼻端子	类型: OT；规格: 6-8	电气/接线端子	包	冷压线鼻端子OT6-8	材质/每包数量缺失
REVIEW-MAT-02042	剥线钳	类型: 多功能剥线钳	工具/电工工具	把	多功能剥线钳	剥线范围/品牌缺失
REVIEW-MAT-02043	感应电笔	类型: 感应电笔	工具/电工工具	支	感应电笔	测量范围/品牌缺失
REVIEW-MAT-02044	钳形电流表	精度: 高精度；量程: 1000A	仪表/电气仪表	个	高精度钳流表1000A	品牌/精度等级/交直流缺失
REVIEW-MAT-02045	电工包	材质: 帆布；用途: 电工	工具/工具包	个	帆布电工包	尺寸/格数缺失
REVIEW-MAT-02046	三叉套筒扳手	规格: 14-17-19；类型: 三叉套筒	工具/手动工具	把	三叉套筒扳手14-17-19	材质/品牌缺失
REVIEW-MAT-02047	三叉套筒扳手	规格: 13-16-18；类型: 三叉套筒	工具/手动工具	把	三叉套筒扳手13-16-18	材质/品牌缺失
REVIEW-MAT-02048	三叉套筒扳手	规格: 10-12-14；类型: 三叉套筒	工具/手动工具	把	三叉套筒扳手10-12-14	材质/品牌缺失
REVIEW-MAT-02049	T型套筒扳手套装	类型: T型套筒；规格范围: 8-19；件数: 6件	工具/手动工具	套	T型套筒扳手8-19/6件套装	材质/品牌缺失
REVIEW-MAT-02050	绝缘十字螺丝刀	头型: 十字；规格: 4*100；特性: 绝缘	工具/电工工具	把	绝缘十字螺丝刀4*100	绝缘耐压等级/品牌缺失
REVIEW-MAT-02051	绝缘十字螺丝刀	头型: 十字；规格: 5*125；特性: 绝缘	工具/电工工具	把	绝缘十字螺丝刀5*125	绝缘耐压等级/品牌缺失
REVIEW-MAT-02052	绝缘一字螺丝刀	头型: 一字；规格: 3*75；特性: 绝缘	工具/电工工具	把	绝缘一字螺丝刀3*75	绝缘耐压等级/品牌缺失
REVIEW-MAT-02053	插座	型号: DKJ35-50；颜色: 红色	电气/插头插座	只	DKJ35-50红色插座	额定电流/接口类型缺失
REVIEW-MAT-02054	开口铜鼻子	材质: 铜；类型: 开口铜鼻子；规格: 300A	电气/接线端子	只	开口铜鼻子300A	线径/孔径缺失
REVIEW-MAT-02055	花兰螺丝	规格: M14*200；类型: 花兰螺丝	紧固件/拉紧件	只	花兰螺丝M14*200	材质/表面处理缺失
REVIEW-MAT-02056	镀锌膨胀钩	表面: 镀锌；规格: M12*125；类型: 膨胀钩	紧固件/膨胀件	只	镀锌膨胀钩M12*125	材质/承载缺失
REVIEW-MAT-02057	镀锌螺丝套件	强度等级: 8.8；规格: M16*70；表面: 镀锌；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M16*70镀锌螺丝带平 弹垫	螺母是否包含需确认
REVIEW-MAT-02058	浮球液位开关	类型: 浮球开关；线长: 10m	电气/液位控制	只	浮球阀开关带10m线	电压/触点容量/介质缺失
REVIEW-MAT-02059	不锈钢C式自锁接头套装	材质: 不锈钢；类型: C式自锁；型号组合: SM40+PM40	气动液压/快换接头	套	不锈钢C式自锁接头SM40+PM40	口径/密封材质缺失
REVIEW-MAT-02060	不锈钢快接公头	材质: 不锈钢；类型: 快接公头；型号: PP20	气动液压/快换接头	只	不锈钢快接公头PP20	口径/系列标准缺失
REVIEW-MAT-02061	不锈钢快接公头	材质: 不锈钢；类型: 快接公头；型号: PP30	气动液压/快换接头	只	不锈钢快接公头PP30	口径/系列标准缺失
REVIEW-MAT-02062	不锈钢快接公头	材质: 不锈钢；类型: 快接公头；型号: PP60	气动液压/快换接头	只	不锈钢快接公头PP60	口径/系列标准缺失
REVIEW-MAT-02063	不锈钢快拧外丝直接	材质: 不锈钢；类型: 快拧外丝直接；型号: PC16-04	气动液压/快拧接头	只	不锈钢快拧外丝直接PC16-04	螺纹制式/管径缺失
REVIEW-MAT-02064	螺丝套件	强度等级: 8.8；规格: M16*130；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M16*130螺丝带平 弹垫	材质/螺母是否包含缺失
REVIEW-MAT-02065	编织袋	规格: 大号；类型: 编织袋	包装材料/编织袋	条	大编织袋	尺寸/承重缺失
REVIEW-MAT-02066	麻袋	规格: 大号；类型: 麻袋	包装材料/麻袋	条	大麻袋	尺寸/材质缺失
REVIEW-MAT-02067	镀锌外丝直接	表面: 镀锌；连接: 外丝；规格: 4分；类型: 直接	管件/镀锌管件	只	镀锌外丝直接4分	材质/压力等级缺失
REVIEW-MAT-02068	镀锌内丝弯头	表面: 镀锌；连接: 内丝；规格: 4分；类型: 弯头	管件/镀锌管件	只	镀锌内丝弯头4分	角度/压力等级缺失
REVIEW-MAT-02069	异形垫片	定制: 是；原始: 异性；尺寸: 330*260*5	定制件/密封垫片	个	订做异性垫片330*260*5	状态：可建档-定制件；`异性`疑似异形，材质/图纸缺失
REVIEW-MAT-02070	不锈钢高压球阀	材质: 304不锈钢；规格: 2寸；类型: 高压球阀	阀门/球阀	只	304不锈钢高压球阀2寸	压力等级/连接形式缺失
REVIEW-MAT-02071	镀锌外丝直接	表面: 镀锌；连接: 外丝；规格: 2寸；长度: 150mm	管件/镀锌管件	只	镀锌外丝直接2寸/150mm	材质/压力等级缺失
REVIEW-MAT-02072	中性笔	类型: 中性笔	办公用品/书写工具	支	中性笔	颜色/笔芯规格缺失
REVIEW-MAT-02073	对丝接头	螺纹/规格: 36*2H；类型: 对丝接头	液压/高压管路	只	36*2H对丝接头	H含义/材质/压力等级缺失
REVIEW-MAT-02074	高压弯头	螺纹/规格: 36*2；结构: 双H；类型: 弯头	液压/高压管路	只	36*2双H弯头	双H含义/材质/压力等级缺失
REVIEW-MAT-02075	变径对丝接头	规格: 1寸/36*2H；类型: 变径对丝	液压/高压管路	只	1寸/36*2H变径对丝接头	材质/压力等级缺失
REVIEW-MAT-02076	架子管	长度: 6m；类型: 架子管	建筑施工耗材/脚手架管	根	架子管6m	管径/壁厚/材质缺失
REVIEW-MAT-02077	冲凿套装	品牌: 上匠；件数: 12件	工具/冲凿工具	套	上匠冲凿12件套	规格明细缺失
REVIEW-MAT-02078	不锈钢内外丝球阀	材质: 304不锈钢；规格: 4分；连接: 内外丝	阀门/球阀	个	304不锈钢4分内外丝球阀	压力等级缺失
REVIEW-MAT-02079	不锈钢内外丝球阀	材质: 304不锈钢；规格: 3分；连接: 内外丝	阀门/球阀	个	304不锈钢3分内外丝球阀	压力等级缺失
REVIEW-MAT-02080	不锈钢内丝球阀	材质: 304不锈钢；规格: 4分；连接: 内丝	阀门/球阀	个	304不锈钢4分内丝球阀	压力等级缺失
REVIEW-MAT-02081	不锈钢内丝球阀	材质: 304不锈钢；规格: 3分；连接: 内丝	阀门/球阀	个	304不锈钢3分内丝球阀	压力等级缺失
REVIEW-MAT-02082	不锈钢宝塔球阀	材质: 304不锈钢；规格: 2分-12mm；连接: 宝塔	阀门/球阀	个	304不锈钢2分-12mm宝塔球阀	压力等级缺失
REVIEW-MAT-02083	不锈钢直通快插接头	材质: 304不锈钢；型号: QS-1/4-12；类型: 直通快插	气动液压/快插接头	个	304不锈钢直通快插接头QS-1/4-12	螺纹/管径含义缺失
REVIEW-MAT-02084	不锈钢直通快插接头	材质: 304不锈钢；型号: QS-1/4-10；类型: 直通快插	气动液压/快插接头	个	304不锈钢直通快插接头QS-1/4-10	螺纹/管径含义缺失
REVIEW-MAT-02085	不锈钢直通快插接头	材质: 304不锈钢；型号: QS-1/4-8；类型: 直通快插	气动液压/快插接头	个	304不锈钢直通快插接头QS-1/4-8	螺纹/管径含义缺失
REVIEW-MAT-02086	自紧钻夹头	品牌: 马牌；夹持范围: 0.3-16；接口: B18	电动工具/电钻配件	个	马牌自紧钻夹头0.3-16B18	适配设备缺失
REVIEW-MAT-02087	铅笔	规格: 2B	办公用品/书写工具	支	2B铅笔	品牌缺失
REVIEW-MAT-02088	速凝型堵漏剂	品牌: 牛元；特性: 速凝型	建材/堵漏材料	箱	牛元速凝型堵漏剂	每箱数量/包装重量缺失
REVIEW-MAT-02089	不锈钢焊条	材质: 不锈钢；直径: Φ2.5	焊接材料/焊条	包	不锈钢焊条Φ2.5	牌号/每包重量缺失
REVIEW-MAT-02090	7号电池	品牌: 南孚；规格: 7号	电气/电池	节	南孚电池7号	碱性/容量缺失
REVIEW-MAT-02091	RVVP屏蔽线	型号: RVVP；规格: 3*1.5；特性: 屏蔽	电气/电线电缆	米	RVVP屏蔽线3*1.5	品牌/电压等级缺失
REVIEW-MAT-02092	弹簧式安全阀	结构: 弹簧式；公称通径: DN20	阀门/安全阀	只	弹簧式安全阀DN20	整定压力/型号/材质缺失
REVIEW-MAT-02093	铜内丝管接	材质: 铜；连接: 内丝；规格: 20	管件/铜管件	只	铜内丝管接20	口径单位/压力等级缺失
REVIEW-MAT-02094	焊接弯头	连接: 焊接；角度: 90度；规格: 159	管件/焊接管件	只	焊接90度弯头159	材质/壁厚/压力等级缺失
REVIEW-MAT-02095	灯座	规格: E27	电气/照明配件	个	E27灯座	材质/额定电流缺失
REVIEW-MAT-02096	焊管	规格: 2寸；长度: 3m；类型: 焊管	钢材/钢管	根	焊管2寸*3m	壁厚/材质/标准缺失
REVIEW-MAT-02097	螺丝套件	强度等级: 8.8；规格: M16*60；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M16*60螺丝带平 弹垫 | 8.8级M16*60螺丝带平弹垫	状态：可建档 | 可合并；材质/螺母是否包含缺失 | 与3273同类，材质/螺母是否包含缺失
REVIEW-MAT-02098	螺丝套件	强度等级: 8.8；规格: M20*60；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M20*60螺丝带平 弹垫	材质/螺母是否包含缺失
REVIEW-MAT-02099	潜水泵	电压: 220V；功率: 370W；出口: 1寸	设备/泵	台	潜水泵220V/370W-1寸出口	扬程/流量/品牌缺失
REVIEW-MAT-02100	不锈钢单向阀	材质: 304不锈钢；公称通径: DN50	阀门/单向阀	只	304不锈钢单向阀DN50	压力等级/连接形式缺失
REVIEW-MAT-02101	不锈钢内六角螺丝套件	材质: 不锈钢；头型: 内六角；规格: M5*30；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢内六角螺丝M5*30带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02102	不锈钢内六角螺丝套件	材质: 不锈钢；头型: 内六角；规格: M5*10；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢内六角螺丝M5*10带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02103	不锈钢内六角螺丝套件	材质: 不锈钢；头型: 内六角；规格: M5*16；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢内六角螺丝M5*16带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02104	不锈钢螺母	材质: 不锈钢；规格: M5	紧固件/螺母	只	不锈钢M5螺母	不锈钢牌号/牙距缺失
REVIEW-MAT-02105	不锈钢螺丝套件	材质: 不锈钢；规格: M6*20；包含: 平垫+弹垫	紧固件/螺丝套件	套	不锈钢M6*20螺丝带平弹垫	不锈钢牌号/螺母是否包含缺失
REVIEW-MAT-02106	脱漆剂	类型: 脱漆剂	化工耗材/脱漆剂	瓶	脱漆剂	品牌/容量/SDS缺失
REVIEW-MAT-02107	加厚油布	特征: 加厚；尺寸: 6m*6m	覆盖材料/油布	块	加厚油布6m*6m	材质/克重/防水等级缺失
REVIEW-MAT-02108	高强度全螺纹丝杆	强度等级: 10.9；规格: M12*1m；原始: 全芽	紧固件/螺杆	根	10.9级M12*1m全芽丝杆	`全芽`疑似全牙，材质/表面处理缺失
REVIEW-MAT-02109	五点式安全带	类型: 五点式	安全防护/安全带	副	五点式安全带	执行标准/承载等级缺失
REVIEW-MAT-02110	螺丝套件	强度等级: 8.8；规格: M20*200；包含: 平垫+弹垫	紧固件/螺丝套件	套	8.8级M20*200螺丝带平 弹垫	材质/螺母是否包含缺失
REVIEW-MAT-02111	镀锌外丝直接	表面: 镀锌；连接: 外丝；规格: 6分；长度: 100mm	管件/镀锌管件	只	镀锌外丝直接6分*100mm	材质/压力等级缺失
REVIEW-MAT-02112	不锈钢双外丝变径接头	材质: 304不锈钢；连接: 双外丝；规格: 2寸/1.5寸	管件/不锈钢管件	只	304不锈钢双外丝变径2寸/1.5寸	压力等级缺失
REVIEW-MAT-02113	不锈钢双外丝变径接头	材质: 304不锈钢；连接: 双外丝；规格: 1.5寸/1.2寸	管件/不锈钢管件	只	304不锈钢双外丝变径1.5寸/1.2寸	压力等级缺失
REVIEW-MAT-02114	泥浆管接头加工件	加工: 是；连接: 焊接；管径: Φ168；用途: 泥浆管	定制件/管路接头	个	加工焊接泥浆管接头Φ168	状态：可建档-定制件；材质/壁厚/图纸缺失
REVIEW-MAT-02115	轴向压力表	类型: 轴向；仪表: 压力表	仪表/压力仪表	只	轴向压力表	量程/接口/表径缺失
REVIEW-MAT-02116	PVC钢丝软管	材质: PVC；结构: 钢丝增强；规格: 1寸	管材/塑料软管	米	PVC钢丝软管1寸	压力等级/壁厚缺失
REVIEW-MAT-02117	卡箍	规格: 50；类型: 卡箍	管夹/卡箍	只	卡箍50	材质/适配管径缺失
REVIEW-MAT-02118	镀锌外丝直接	表面: 镀锌；连接: 外丝；规格: 1寸；长度: 100mm	管件/镀锌管件	只	镀锌外丝直接1寸*100mm	材质/压力等级缺失
REVIEW-MAT-02119	镀锌变径接头	表面: 镀锌；规格: 1寸/6分；类型: 大小头/变径	管件/镀锌管件	只	镀锌大小头1寸/6分	连接形式/压力等级缺失
REVIEW-MAT-02120	不锈钢外丝变径接头	材质: 304不锈钢；连接: 外丝；规格: 6分/4分	管件/不锈钢管件	只	304不锈钢外丝变径6分/4分	压力等级缺失
REVIEW-MAT-02121	防护罩加工件	加工: 是；尺寸: 1.2米*2.7米*0.8米	定制件/防护罩	件	加工防护罩1.2米*2.7米*0.8米	状态：可建档-定制件；材质/图纸/用途缺失
REVIEW-MAT-02122	橡胶垫片	材质: 橡胶；规格: 50	密封件/垫片	个	橡胶垫片50	内径/外径/厚度缺失
REVIEW-MAT-02123	螺纹锁固胶	品牌: 乐泰；型号: 243	胶粘剂/螺纹锁固胶	瓶	乐泰243胶水	状态：可合并；与2594同类，容量/包装单位需统一
REVIEW-MAT-02124	发泡胶	类型: 发泡胶	胶粘剂/发泡胶	瓶	发泡胶	品牌/容量/阻燃等级缺失
REVIEW-MAT-02125	复合吸油棉	材质/类型: 复合；尺寸: 400*500*5	清洁耗材/吸油棉	张	复合吸油棉400*500*5	吸油量/材质等级缺失
REVIEW-MAT-02126	PVC管加工件	加工: 是；材质: PVC；直径: Φ200；长度: 1.5m	定制件/塑料管加工件	根	加工PVC管Φ200*1.5m	状态：可建档-定制件；壁厚/用途/图纸缺失
REVIEW-MAT-02127	PVC直接	材质: PVC；直径: Φ200；类型: 直接	管件/PVC管件	只	PVC管Φ200直接	压力等级/连接方式缺失
REVIEW-MAT-02128	PVC胶水	用途: PVC粘接	胶粘剂/PVC胶水	瓶	PVC胶水	状态：可合并；与2517同类，品牌/容量缺失
REVIEW-MAT-02129	膨胀螺丝	规格: Φ10	紧固件/膨胀螺丝	支	膨胀螺丝Φ10	长度/材质缺失
REVIEW-MAT-02130	镀锌骑马卡	表面: 镀锌；规格: Φ200；类型: 骑马卡	管夹/管路固定件	个	镀锌骑马卡Φ200	材质/孔距缺失
REVIEW-MAT-02131	不锈钢排气阀	材质: 不锈钢；特征: 大帽	阀门/排气阀	只	不锈钢大帽排气阀	规格/压力等级缺失
REVIEW-MAT-02132	自攻螺丝	规格: M4	紧固件/自攻螺丝	只	自攻螺丝M4	长度/头型/材质缺失
REVIEW-MAT-02133	遮阳伞	规格: 2.2m；类型: 大遮阳伞	行政后勤/生活用品	把	大遮阳伞2.2m	材质/底座是否包含缺失
REVIEW-MAT-02134	尖嘴钳	品牌: 世达；规格: 6寸；类型: 尖嘴钳	工具/手动工具	把	世达尖嘴钳6寸	型号缺失
REVIEW-MAT-02135	钻尾螺丝	规格: M5.5*80；包装: 大盒	紧固件/钻尾螺丝	盒	钻尾螺丝M5.5*80大盒	每盒数量/材质缺失
REVIEW-MAT-02136	垃圾袋	尺寸: 1m*1.2m	行政后勤/清洁用品	条	垃圾袋1m*1.2m	厚度/每包数量缺失
REVIEW-MAT-02137	钻头	直径: Φ14；长度: 150	工具/钻头	支	钻头Φ14*150	柄型/材质缺失
REVIEW-MAT-02138	编织袋	尺寸: 0.8m*1.2m	包装材料/编织袋	条	编织袋0.8m*1.2m	承重/材质缺失
REVIEW-MAT-02139	内六角螺丝套件	强度等级: 8.8；头型: 内六角；规格: M10*50；包含: 螺母	紧固件/螺丝套件	套	8.8级内六角螺丝M10*50带螺母	平垫/弹垫是否包含需确认
REVIEW-MAT-02140	供水增压泵	用途: 供水增压	设备/泵	台	供水增压泵	流量/扬程/功率缺失
REVIEW-MAT-02141	水泵自动控制开关	用途: 水泵自动控制	电气/泵控制	台	水泵自动控制开关	电压/电流/控制方式缺失
REVIEW-MAT-02142	不锈钢保温水箱	容量: 5T；材质: 不锈钢；形状: 圆形；特性: 保温	容器/水箱	个	5T不锈钢圆形保温水箱	尺寸/板厚/保温层缺失
REVIEW-MAT-02143	不锈钢补水球阀	材质: 不锈钢；用途: 补水；规格: 4寸	阀门/球阀	只	4寸不锈钢补水球阀	压力等级/连接方式缺失
REVIEW-MAT-02144	PPR截止阀	品牌: 公元；材质: PPR；规格: 32；类型: 截止阀	管件/PPR管件	只	公元PPR32截止阀	压力等级缺失
REVIEW-MAT-02145	不锈钢球阀	材质: 不锈钢；规格: 32	阀门/球阀	只	不锈钢球阀32	口径单位/压力等级缺失
REVIEW-MAT-02146	PPR管	品牌: 公元；材质: PPR；规格: 32	管材/PPR管	米	公元PPR32管	压力等级/壁厚缺失
REVIEW-MAT-02147	PPR三通	品牌: 公元；材质: PPR；规格: 32；类型: 三通	管件/PPR管件	只	公元PPR32三通	压力等级缺失
REVIEW-MAT-02148	PPR弯头	品牌: 公元；材质: PPR；规格: 32；类型: 弯头	管件/PPR管件	只	公元PPR32弯头	角度/压力等级缺失
REVIEW-MAT-02149	PPR直接	品牌: 公元；材质: PPR；规格: 32；类型: 直接	管件/PPR管件	只	公元PPR32直接	压力等级缺失
REVIEW-MAT-02150	电缆	规格: 4*4平方	电气/电线电缆	米	电缆线4*4平方	型号/品牌/电压等级缺失
REVIEW-MAT-02151	除胶剂	类型: 除胶剂	清洁化学品/除胶剂	瓶	除胶剂	品牌/容量/SDS缺失
REVIEW-MAT-02152	泡沫清洗剂	类型: 泡沫清洗剂	清洁化学品/清洗剂	瓶	泡沫清洗剂	品牌/容量/SDS缺失
REVIEW-MAT-02153	镀锌接地桩套件	表面: 镀锌；规格: 18*1m；配置: 带螺丝	电气/接地材料	根	镀锌接地桩18*1m带螺丝	材质/镀层厚度缺失
REVIEW-MAT-02154	地毯刷	用途: 地毯清洁	清洁工具/刷子	个	地毯刷	尺寸/材质缺失
REVIEW-MAT-02155	棉毛巾	材质: 棉；类型: 毛巾	行政后勤/生活用品	条	棉毛巾	尺寸/克重缺失
REVIEW-MAT-02156	竹梯	材质: 竹；长度: 6米	工具/登高工具	部	6米竹梯	承载/节数缺失
REVIEW-MAT-02157	全身式安全带	类型: 全身式；配置: 大钩	安全防护/安全带	条	全身大钩安全带	执行标准/承载等级缺失
REVIEW-MAT-02158	折叠圆桌	直径/规格: 1.5米；结构: 折叠；形状: 圆桌	行政后勤/办公家具	张	1.5米折叠圆桌	材质缺失
REVIEW-MAT-02159	实木办公桌	材质: 实木；尺寸: 1.4米*0.6米	行政后勤/办公家具	张	实木办公桌1.4米*0.6米	高度/款式缺失
REVIEW-MAT-02160	玻璃胶	品牌: 道康宁	胶粘剂/玻璃胶	支	道康宁玻璃胶	型号/颜色/容量缺失
REVIEW-MAT-02161	方柄钻头	品牌: 博世；柄型: 方柄；直径: Φ14；长度: 280	工具/钻头	支	博世方柄钻头Φ14*280	材质/适配设备缺失
REVIEW-MAT-02162	方柄钻头	品牌: 博世；柄型: 方柄；直径: Φ12；长度: 260	工具/钻头	支	博世方柄钻头Φ12*260	材质/适配设备缺失
REVIEW-MAT-02163	灭火器	灭火剂重量: 2KG	安全消防/灭火器	只	2KG灭火器	状态：可合并；与2522同类，类型/年检信息缺失
REVIEW-MAT-02164	灭火器箱	用途: 灭火器存放	安全消防/灭火器配件	个	灭火器箱子	状态：可建档 | 可合并；适配规格/材质缺失 | 与3364同类，适配规格/材质缺失 | 与3474同类，适配规格/材质缺失
REVIEW-MAT-02165	PVC管	品牌: 公元；材质: PVC；直径: Φ100	管材/PVC管	米	公元PVCΦ100管	压力等级/壁厚缺失
REVIEW-MAT-02166	PVC弯头	品牌: 公元；材质: PVC；直径: Φ100；类型: 弯头	管件/PVC管件	只	公元PVCΦ100弯头	角度/压力等级缺失
REVIEW-MAT-02167	PVC止回阀	品牌: 公元；材质: PVC；直径: Φ100；类型: 止回阀	阀门/PVC阀门	个	公元PVCΦ100止回阀	压力等级/连接方式缺失
REVIEW-MAT-02168	PVC三通	品牌: 公元；材质: PVC；直径: Φ100；类型: 三通	管件/PVC管件	只	公元PVCΦ100三通	压力等级缺失
REVIEW-MAT-02169	镀锌两端丝水管加工件	加工: 是；表面: 镀锌；规格: 4分；连接: 两端丝；长度: 3米	定制件/管路加工件	根	加工4分镀锌两端丝水管3米	状态：可建档-定制件；材质/压力等级缺失
REVIEW-MAT-02170	镀锌内丝直接	表面: 镀锌；连接: 内丝；规格: 4分；类型: 直接	管件/镀锌管件	只	镀锌4分内丝直接头	材质/压力等级缺失
REVIEW-MAT-02171	手持吸尘器	品牌: 小米；特征: 大功率；类型: 手持	行政后勤/清洁设备	台	小米大功率手持吸尘器	型号/功率缺失
REVIEW-MAT-02172	不锈钢排烟罩	定制: 是；材质: 不锈钢；尺寸: 500*600	定制件/排烟罩	个	订做不锈钢排烟罩500*600	状态：可建档-定制件；图纸/板厚/接口缺失
REVIEW-MAT-02173	不锈钢变径接头	定制: 是；材质: 不锈钢；规格: 450*450；类型: 变径接头	定制件/管路接头	个	订做不锈钢变径接头450*450	状态：可建档-定制件；两端规格/图纸缺失
REVIEW-MAT-02174	空气净化器	品牌: 小米；类型: 空气净化机	行政后勤/空气净化设备	台	小米空气净化机	型号/适用面积缺失
REVIEW-MAT-02175	木方	截面: 50*100；长度: 4m	建筑材料/木材	根	木方50*100*4m	木材等级/材质缺失
REVIEW-MAT-02176	自攻螺丝	长度: 60mm	紧固件/自攻螺丝	盒	自攻螺丝60mm	直径/每盒数量缺失
REVIEW-MAT-02177	钻尾螺丝	长度: 60mm	紧固件/钻尾螺丝	盒	钻尾螺丝60mm	直径/每盒数量缺失
REVIEW-MAT-02178	电工包	品牌: 得力；用途: 电工	工具/工具包	个	得力电工包	尺寸/格数缺失
REVIEW-MAT-02179	圆柄钻头	品牌: 博世；柄型: 圆柄；直径: Φ10；长度: 350	工具/钻头	只	博世圆柄钻头Φ10*350	材质/适配设备缺失
REVIEW-MAT-02180	钻头	品牌: 博世；柄型: 二坑二槽；直径: Φ12；长度: 350	工具/钻头	只	博世二坑二槽钻头Φ12*350	材质/适配设备缺失
REVIEW-MAT-02181	钻头	品牌: 博世；柄型: 二坑二槽；直径: Φ14；长度: 350	工具/钻头	只	博世二坑二槽钻头Φ14*350	材质/适配设备缺失
REVIEW-MAT-02182	钻头	品牌: 博世；柄型: 二坑二槽；直径: Φ16；长度: 350	工具/钻头	只	博世二坑二槽钻头Φ16*350	材质/适配设备缺失
REVIEW-MAT-02183	二保焊机分流器	适配: 500型二保焊机；部件: 分流器；材质/类型: 陶瓷型	焊接耗材/焊枪配件	只	500型二保焊机分流器陶瓷型	适配焊枪型号缺失
REVIEW-MAT-02184	二保焊机分流器	适配: 350型二保焊机；部件: 分流器；材质/类型: 陶瓷型	焊接耗材/焊枪配件	只	350型二保焊机分流器陶瓷型	适配焊枪型号缺失
REVIEW-MAT-02185	水平尺	长度: 1m	工具/测量工具	根	水平尺1m	精度/材质缺失
REVIEW-MAT-02186	水平尺	长度: 0.6m	工具/测量工具	根	水平尺0.6m	精度/材质缺失
REVIEW-MAT-02187	LED灯泡	类型: LED；功率: 30W；接口: 螺口	电气/照明灯具	只	LED30W螺口灯泡	螺口规格/色温缺失
REVIEW-MAT-02188	高强度全螺纹螺丝	强度等级: 12.9；规格: M27*100；原始: 全芽	紧固件/螺丝	套	12.9级M27*100全芽螺丝	`全芽`疑似全牙，套件内容缺失
REVIEW-MAT-02189	氧气管	介质: 氧气；类型: 软管	焊接工具/气体软管	卷	氧气管	内径/长度/压力等级缺失
REVIEW-MAT-02190	乙炔管	介质: 乙炔；类型: 软管	焊接工具/气体软管	卷	乙炔管	内径/长度/压力等级缺失
REVIEW-MAT-02191	带盖带轮垃圾桶	容量: 240L；配置: 带盖+带轮	行政后勤/清洁用品	个	240L垃圾桶带盖轮	材质/颜色缺失
REVIEW-MAT-02192	吊装带	额定载荷: 3T；长度: 2m	吊装索具/吊带	根	吊带3T*2m	材质/安全系数缺失
REVIEW-MAT-02193	吊装带	额定载荷: 2T；长度: 2m	吊装索具/吊带	根	吊带2T*2m	状态：可合并 | 可建档；与2302同类，材质/安全系数缺失 | 材质/安全系数缺失
REVIEW-MAT-02194	电缆	品牌: 起帆；规格: 3*2.5+1*1.5	电气/电线电缆	米	起帆电缆线3*2.5+1*1.5	电缆型号/电压等级缺失
REVIEW-MAT-02195	消防水带	特性: 防爆；直径: Φ80	安全消防/消防水带	米	防爆消防水带Φ80	压力等级/接口标准缺失
REVIEW-MAT-02196	铝合金消防接头	材质: 铝合金；直径: Φ80	安全消防/消防接头	套	铝合金消防接头Φ80	接口标准/密封件缺失
REVIEW-MAT-02197	抱箍	规格: 80；类型: 抱箍	管夹/卡箍	只	抱箍80	材质/适配管径缺失
