候选词	建议物料族	处理建议	置信度	覆盖SKU数	覆盖标准名称数	当前物料族数	是否跨一级类目	主要分类	当前物料族	样例标准名称	样例SKU	说明
牙弯	牙弯	暂作为检索/属性候选	low	4	3	3	是	管材管件阀门/弯头:2；液压气动/液压接头:1；定制加工件/管路接头:1	定制管路接头；弯头；液压接头	PPR内牙弯头；液压内外牙弯头；高压内外牙弯头	PIPE-000010 PPR内牙弯头 品牌：公元；规格：25；连接：内牙；类型：弯头；PIPE-000018 PPR内牙弯头 规格：PPR25*4分；连接：内牙；类型：弯头；PIPE-000216 液压内外牙弯头 螺纹/型号：M52*28H；连接：内外牙；类型：弯头；PIPE-000238 高压内外牙弯头 定制：是；规格：52；连接：内外牙；类型：弯头	有重复但族边界不够清晰，先不固化。
牙弯头	牙弯头	暂作为检索/属性候选	low	4	3	3	是	管材管件阀门/弯头:2；液压气动/液压接头:1；定制加工件/管路接头:1	定制管路接头；弯头；液压接头	PPR内牙弯头；液压内外牙弯头；高压内外牙弯头	PIPE-000010 PPR内牙弯头 品牌：公元；规格：25；连接：内牙；类型：弯头；PIPE-000018 PPR内牙弯头 规格：PPR25*4分；连接：内牙；类型：弯头；PIPE-000216 液压内外牙弯头 螺纹/型号：M52*28H；连接：内外牙；类型：弯头；PIPE-000238 高压内外牙弯头 定制：是；规格：52；连接：内外牙；类型：弯头	有重复但族边界不够清晰，先不固化。
电机	电机	暂作为检索/属性候选	low	4	3	3	是	设备备件/电机传动备件:3；施工机具设备/泵类设备:1	振动电机套装；电机；螺杆泵电机套装	振动电机套装；电机；螺杆泵电机套装	SPARE-000110 螺杆泵电机套装 功率：2.2kW；材质：不锈钢；组成：螺杆泵+电机；SPARE-000114 电机 功率：7.5kW；SPARE-000117 振动电机套装 进口：是；类型：振动电机；配置：整套；SPARE-000122 电机 功率：5.5kW	有重复但族边界不够清晰，先不固化。
磨机	磨机	暂作为检索/属性候选	low	4	4	4	否	电动气动工具/电动工具:4	角磨机；锂电池角磨机；锂电角磨机；锂电角磨机套装	角磨机；锂电池角磨机；锂电角磨机；锂电角磨机套装	TOOL-000027 锂电池角磨机 品牌：大艺；动力：锂电池；TOOL-000040 锂电角磨机 品牌：大艺；供电：锂电池；TOOL-000238 角磨机 品牌：东城；类型：角磨机；TOOL-000254 锂电角磨机套装 品牌：东成；供电：锂电；配置：二电一充	有重复但族边界不够清晰，先不固化。
空调	空调	暂作为检索/属性候选	low	4	3	3	是	清洁办公后勤/生活用品:3；电气电料/插头插座:1	变频空调；空调；空调插座	变频空调；空调；空调插座	ELEC-000023 空调插座 品牌：公牛；电流：16A；用途：空调；MAT-000056 变频空调 品牌：格力；匹数：3匹；类型：变频；MAT-000156 空调 品牌：美的；匹数：大1.5匹；功能：冷暖；MAT-000203 空调 品牌：格力；能效等级：1级	有重复但族边界不够清晰，先不固化。
管道	管道	暂作为检索/属性候选	low	4	3	3	是	施工机具设备/泵类设备:3；管材管件阀门/直接:1	直接/接头；管道增压泵；管道泵	双卡管道连接器；管道增压泵；管道泵	PIPE-000188 双卡管道连接器 规格：325；型式：双卡；SPARE-000104 管道增压泵 电压：380V；功率：3kW；类型：管道增压泵；SPARE-000105 管道增压泵 电压：380V；功率：1.5kW；类型：管道增压泵；SPARE-000123 管道泵 功率：5.5kW；口径/规格：50	有重复但族边界不够清晰，先不固化。
缩杆	缩杆	暂作为检索/属性候选	low	4	3	3	是	安全消防/围挡护栏:2；工具耗材/刷具:2	伸缩杆；滚筒伸缩杆；边角刷伸缩杆	伸缩杆；滚筒伸缩杆；边角刷伸缩杆	SAFE-000039 伸缩杆 颜色：红色；类型：伸缩杆；TOOL-000210 伸缩杆 长度：2米；结构：伸缩；TOOL-000334 滚筒伸缩杆 适配工具：滚筒；部件：伸缩杆；TOOL-000335 边角刷伸缩杆 适配工具：边角刷；部件：伸缩杆	有重复但族边界不够清晰，先不固化。
自锁	自锁	暂作为检索/属性候选	low	4	4	1	否	液压气动/气动接头:4	气动接头	不锈钢C式自锁接头套装；气管自锁接头；自锁气管接头公头；自锁气管接头螺母	PIPE-000229 自锁气管接头公头 类型：自锁；部件：公头；PIPE-000230 自锁气管接头螺母 类型：自锁；部件：螺母；PIPE-000259 气管自锁接头 类型：自锁接头；METAL-000140 不锈钢C式自锁接头套装 材质：不锈钢；类型：C式自锁；型号组合：SM40+PM40	有重复但族边界不够清晰，先不固化。
螺栓	螺栓	暂作为检索/属性候选	low	4	3	2	是	紧固件与连接件/螺丝:2；吊装索具/牵引捆绑:2	花篮螺栓；螺丝	六角螺栓组件；内六角螺栓；花篮螺栓	FAST-000013 六角螺栓组件 规格：M22*100；成套：是；类型：六角；FAST-000060 花篮螺栓 规格：14*200；FAST-000061 花篮螺栓 规格：10厘；FAST-000075 内六角螺栓 强度等级：10.9；规格：M12*100；头型：内六角	有重复但族边界不够清晰，先不固化。
螺纹钢	螺纹钢	暂作为检索/属性候选	low	4	3	3	是	金属材料/钢筋:2；定制加工件/钢筋加工件:2	螺纹钢；螺纹钢筋；螺纹钢筋加工件	螺纹钢；螺纹钢筋；螺纹钢筋加工件	METAL-000064 螺纹钢筋 直径：22mm；METAL-000104 螺纹钢 规格：20E；长度：12米；METAL-000133 螺纹钢筋加工件 加工：是；直径：Φ20；长度：40cm；METAL-000137 螺纹钢筋加工件 加工：是；直径：Φ20；长度：60cm	有重复但族边界不够清晰，先不固化。
角磨	角磨	暂作为检索/属性候选	low	4	4	4	否	电动气动工具/电动工具:4	角磨机；锂电池角磨机；锂电角磨机；锂电角磨机套装	角磨机；锂电池角磨机；锂电角磨机；锂电角磨机套装	TOOL-000027 锂电池角磨机 品牌：大艺；动力：锂电池；TOOL-000040 锂电角磨机 品牌：大艺；供电：锂电池；TOOL-000238 角磨机 品牌：东城；类型：角磨机；TOOL-000254 锂电角磨机套装 品牌：东成；供电：锂电；配置：二电一充	有重复但族边界不够清晰，先不固化。
角磨机	角磨机	暂作为检索/属性候选	low	4	4	4	否	电动气动工具/电动工具:4	角磨机；锂电池角磨机；锂电角磨机；锂电角磨机套装	角磨机；锂电池角磨机；锂电角磨机；锂电角磨机套装	TOOL-000027 锂电池角磨机 品牌：大艺；动力：锂电池；TOOL-000040 锂电角磨机 品牌：大艺；供电：锂电池；TOOL-000238 角磨机 品牌：东城；类型：角磨机；TOOL-000254 锂电角磨机套装 品牌：东成；供电：锂电；配置：二电一充	有重复但族边界不够清晰，先不固化。
警示	警示	暂作为检索/属性候选	low	4	4	4	否	安全消防/警示标识:4	反光警示带；警示反光胶带；警示反光踢脚板；警示牌	反光警示带；警示反光胶带；警示反光踢脚板；警示牌	SAFE-000040 警示牌 规格：大号；SAFE-000065 反光警示带 宽度：10cm；颜色：黄黑；功能：反光；SAFE-000125 警示反光胶带 品牌：3M；用途：警示；长度：50m；SAFE-000126 警示反光踢脚板 用途：警示反光；规格：30cm	有重复但族边界不够清晰，先不固化。
起重	起重	暂作为检索/属性候选	low	4	3	3	否	吊装索具/吊具:2；吊装索具/牵引捆绑:1；吊装索具/吊钩:1	起重滑轮钩；起重链条调节器；钢板起重钳	起重滑轮钩；起重链条调节器；钢板起重钳	METAL-000076 钢板起重钳 额定载荷：2T；METAL-000077 钢板起重钳 额定载荷：3.2T；MAT-000211 起重链条调节器 额定载荷：15T；类型：调节器；MAT-000249 起重滑轮钩 品牌：沪工；额定载荷：1T	有重复但族边界不够清晰，先不固化。
连接器	连接器	暂作为检索/属性候选	low	4	4	4	是	电气电料/电气连接器:2；管材管件阀门/直接:1；弱电安防/网络材料:1	水下连接器；水下连接器堵头；直接/接头；防水网线连接器	双卡管道连接器；水下连接器；水下连接器堵头；防水网线连接器	PIPE-000188 双卡管道连接器 规格：325；型式：双卡；PIPE-000420 防水网线连接器 适用环境：户外；特性：防水；类型：网线接头连接器；ELEC-000190 水下连接器 环境：水下；结构：四电二光；ELEC-000191 水下连接器堵头 适配：水下连接器；类型：堵头	有重复但族边界不够清晰，先不固化。
钢内外	钢内外	暂作为检索/属性候选	low	4	3	3	是	电气电料/电气辅材:2；管材管件阀门/阀门:2	不锈钢内外门电柜；不锈钢内外门电箱；阀门	不锈钢内外丝球阀；不锈钢内外门电柜；不锈钢内外门电箱	METAL-000126 不锈钢内外门电柜 材质：不锈钢；结构：内外门；尺寸：1000*650*450；ELEC-000198 不锈钢内外门电箱 材质：不锈钢；结构：内外门；尺寸：350*250*200；METAL-000145 不锈钢内外丝球阀 材质：304不锈钢；规格：4分；连接：内外丝；METAL-000146 不锈钢内外丝球阀 材质：304不锈钢；规格：3分；连接：内外丝	有重复但族边界不够清晰，先不固化。
钢外	钢外	暂作为检索/属性候选	low	4	3	1	否	管材管件阀门/直接:4	直接/接头	不锈钢外丝变径接头；不锈钢外接；不锈钢外螺纹对接头	PIPE-000032 不锈钢外接 材质：不锈钢；规格：4分；连接：外接；METAL-000134 不锈钢外螺纹对接头 材质：不锈钢；连接：外螺纹；规格：4分；METAL-000136 不锈钢外螺纹对接头 材质：不锈钢；连接：外螺纹；规格：6分；METAL-000157 不锈钢外丝变径接头 材质：304不锈钢；连接：外丝；规格：6分/4分	有重复但族边界不够清晰，先不固化。
钢螺	钢螺	暂作为检索/属性候选	low	4	3	2	否	紧固件与连接件/螺丝:2；紧固件与连接件/螺母:2	螺丝；螺母	不锈钢螺丝；不锈钢螺丝套件；不锈钢螺母	METAL-000070 不锈钢螺丝 规格：M5.5*32；材质：不锈钢；FAST-000076 不锈钢螺母 材质：304不锈钢；规格：M6；METAL-000154 不锈钢螺母 材质：不锈钢；规格：M5；FAST-000098 不锈钢螺丝套件 材质：不锈钢；规格：M6*20；套件组成：平垫+弹垫	有重复但族边界不够清晰，先不固化。
锈钢内外	锈钢内外	暂作为检索/属性候选	low	4	3	3	是	电气电料/电气辅材:2；管材管件阀门/阀门:2	不锈钢内外门电柜；不锈钢内外门电箱；阀门	不锈钢内外丝球阀；不锈钢内外门电柜；不锈钢内外门电箱	METAL-000126 不锈钢内外门电柜 材质：不锈钢；结构：内外门；尺寸：1000*650*450；ELEC-000198 不锈钢内外门电箱 材质：不锈钢；结构：内外门；尺寸：350*250*200；METAL-000145 不锈钢内外丝球阀 材质：304不锈钢；规格：4分；连接：内外丝；METAL-000146 不锈钢内外丝球阀 材质：304不锈钢；规格：3分；连接：内外丝	有重复但族边界不够清晰，先不固化。
锈钢外	锈钢外	暂作为检索/属性候选	low	4	3	1	否	管材管件阀门/直接:4	直接/接头	不锈钢外丝变径接头；不锈钢外接；不锈钢外螺纹对接头	PIPE-000032 不锈钢外接 材质：不锈钢；规格：4分；连接：外接；METAL-000134 不锈钢外螺纹对接头 材质：不锈钢；连接：外螺纹；规格：4分；METAL-000136 不锈钢外螺纹对接头 材质：不锈钢；连接：外螺纹；规格：6分；METAL-000157 不锈钢外丝变径接头 材质：304不锈钢；连接：外丝；规格：6分/4分	有重复但族边界不够清晰，先不固化。
锈钢螺	锈钢螺	暂作为检索/属性候选	low	4	3	2	否	紧固件与连接件/螺丝:2；紧固件与连接件/螺母:2	螺丝；螺母	不锈钢螺丝；不锈钢螺丝套件；不锈钢螺母	METAL-000070 不锈钢螺丝 规格：M5.5*32；材质：不锈钢；FAST-000076 不锈钢螺母 材质：304不锈钢；规格：M6；METAL-000154 不锈钢螺母 材质：不锈钢；规格：M5；FAST-000098 不锈钢螺丝套件 材质：不锈钢；规格：M6*20；套件组成：平垫+弹垫	有重复但族边界不够清晰，先不固化。
阳能	阳能	暂作为检索/属性候选	low	4	4	4	是	弱电安防/监控设备:2；电气电料/照明灯具:1；安全消防/警示标识:1	太阳能4G摄像头；太阳能4G监控套装；太阳能LED灯；太阳能爆闪灯	太阳能4G摄像头；太阳能4G监控套装；太阳能LED灯；太阳能爆闪灯	ELEC-000047 太阳能4G摄像头 供电：太阳能；通信：4G；清晰度：4K；ELEC-000077 太阳能LED灯 品牌：公牛；功率：80W；供电：太阳能；SAFE-000071 太阳能爆闪灯 供电：太阳能；类型：爆闪灯；MAT-000163 太阳能4G监控套装 供电：太阳能；通信：4G；套装：三件套	有重复但族边界不够清晰，先不固化。
面罩	面罩	暂作为检索/属性候选	low	4	4	4	否	劳保防护/眼面防护:2；劳保防护/呼吸防护:2	头盔式面罩；焊接面罩；防尘面罩；防尘面罩过滤芯	头盔式面罩；焊接面罩；防尘面罩；防尘面罩过滤芯	SAFE-000082 焊接面罩 用途：焊接；SAFE-000098 防尘面罩 品牌：3M；类型：防尘面罩；SAFE-000099 防尘面罩过滤芯 品牌：3M；适配：防尘面罩；部件：过滤芯；SAFE-000110 头盔式面罩 类型：头盔式面罩	有重复但族边界不够清晰，先不固化。
风扇	风扇	暂作为检索/属性候选	low	4	3	3	是	电气电料/通风设备:2；清洁办公后勤/生活用品:1；电气电料/电气辅材:1	挂壁风扇；排风扇；电柜风扇防雨罩组合	挂壁风扇；排风扇；电柜风扇防雨罩组合	ELEC-000041 排风扇 规格：50*50；MAT-000028 挂壁风扇 控制：遥控；安装：挂壁；ELEC-000068 排风扇 规格：10寸；ELEC-000184 电柜风扇防雨罩组合 用途：电柜；包含：风扇+防雨罩；电压：380V	有重复但族边界不够清晰，先不固化。
风机	风机	暂作为检索/属性候选	low	4	4	4	是	电动气动工具/电动工具:1；施工机具设备/风机设备:1；设备备件/通用机械备件:1；电气电料/电气辅材:1	热风机；电柜散热风机；鼓风机；鼓风机滤芯	热风机；电柜散热风机；鼓风机；鼓风机滤芯	TOOL-000140 热风机 功率：2000W；SPARE-000100 鼓风机 功率：2.2kW；SPARE-000115 鼓风机滤芯 规格：2寸；适用设备：鼓风机；ELEC-000189 电柜散热风机 用途：电柜散热；类型：风机	有重复但族边界不够清晰，先不固化。
马卡	马卡	暂作为检索/属性候选	low	4	3	1	否	紧固件与连接件/管卡:4	管卡	不锈钢骑马卡；镀锌骑马卡；骑马卡	METAL-000055 不锈钢骑马卡 规格：40；材质：不锈钢；PIPE-000294 骑马卡 公称直径：DN200；材质：不锈钢；PIPE-000332 骑马卡 定制：是；规格：36；材质：不锈钢；厚度/螺纹：36*2.0；PIPE-000459 镀锌骑马卡 表面：镀锌；规格：Φ200；类型：骑马卡	有重复但族边界不够清晰，先不固化。
骑马卡	骑马卡	暂作为检索/属性候选	low	4	3	1	否	紧固件与连接件/管卡:4	管卡	不锈钢骑马卡；镀锌骑马卡；骑马卡	METAL-000055 不锈钢骑马卡 规格：40；材质：不锈钢；PIPE-000294 骑马卡 公称直径：DN200；材质：不锈钢；PIPE-000332 骑马卡 定制：是；规格：36；材质：不锈钢；厚度/螺纹：36*2.0；PIPE-000459 镀锌骑马卡 表面：镀锌；规格：Φ200；类型：骑马卡	有重复但族边界不够清晰，先不固化。
高压外丝	高压外丝	暂作为检索/属性候选	low	4	4	2	是	液压气动/液压接头:3；定制加工件/管路接头:1	定制管路接头；液压接头	液压高压外丝接头；高压外丝变径接头；高压外丝堵头；高压外丝接头	PIPE-000079 高压外丝变径接头 定制：是；规格：M36变1寸；连接：外丝；PIPE-000164 高压外丝接头 螺纹：M36*2A；类型：外丝；PIPE-000305 高压外丝堵头 规格：25；连接：外丝；类型：堵头；PIPE-000368 液压高压外丝接头 规格：1寸；连接形式：外丝；用途：液压高压	有重复但族边界不够清晰，先不固化。
高压清	高压清	暂作为检索/属性候选	low	4	4	4	是	设备备件/通用机械备件:3；施工机具设备/清洗设备:1	高压清洗喷枪；高压清洗机；高压清洗机喷嘴；高压清洗机滤网	高压清洗喷枪；高压清洗机；高压清洗机喷嘴；高压清洗机滤网	MAT-000106 高压清洗机 品牌：黑马；电压：380V；功率：5.5kW；CHEM-000091 高压清洗机滤网 规格：25mm；部件：滤网；MAT-000131 高压清洗喷枪 用途：高压清洗；类型：喷枪；MAT-000253 高压清洗机喷嘴 角度：0度	有重复但族边界不够清晰，先不固化。
高压清洗	高压清洗	暂作为检索/属性候选	low	4	4	4	是	设备备件/通用机械备件:3；施工机具设备/清洗设备:1	高压清洗喷枪；高压清洗机；高压清洗机喷嘴；高压清洗机滤网	高压清洗喷枪；高压清洗机；高压清洗机喷嘴；高压清洗机滤网	MAT-000106 高压清洗机 品牌：黑马；电压：380V；功率：5.5kW；CHEM-000091 高压清洗机滤网 规格：25mm；部件：滤网；MAT-000131 高压清洗喷枪 用途：高压清洗；类型：喷枪；MAT-000253 高压清洗机喷嘴 角度：0度	有重复但族边界不够清晰，先不固化。
高强度全	高强度全	暂作为检索/属性候选	low	4	3	2	否	紧固件与连接件/螺丝:3；紧固件与连接件/螺杆:1	螺丝；螺杆	高强度全牙螺丝；高强度全牙螺杆；高强度全螺纹螺丝套件	FAST-000080 高强度全牙螺杆 强度等级：12.9；规格：M30*1m；螺纹形式：全牙；FAST-000082 高强度全牙螺丝 强度等级：12.9；规格：M30*250；螺纹形式：全牙；FAST-000108 高强度全牙螺丝 强度等级：12.9级；规格：M27*100；螺纹：全牙；FAST-000119 高强度全螺纹螺丝套件 强度等级：12.9；规格：M24*60；螺纹：全螺纹；包含：平垫+弹垫	有重复但族边界不够清晰，先不固化。
像头	像头	暂作为检索/属性候选	low	3	3	3	否	弱电安防/监控设备:3	变焦摄像头；太阳能4G摄像头；监控摄像头	变焦摄像头；太阳能4G摄像头；监控摄像头	ELEC-000047 太阳能4G摄像头 供电：太阳能；通信：4G；清晰度：4K；MAT-000160 监控摄像头 通信：4G；供电：太阳能；清晰度：4K；存储：30天循环；MAT-000206 变焦摄像头 功能：变焦	有重复但族边界不够清晰，先不固化。
剪刀	剪刀	暂作为检索/属性候选	low	3	3	3	否	工具量具/手动工具:3	PPR管剪刀；剪刀；镀锌板剪刀	PPR管剪刀；剪刀；镀锌板剪刀	PIPE-000005 PPR管剪刀 品牌：公元；用途：PPR管剪切；TOOL-000019 剪刀 类型：剪刀；TOOL-000283 镀锌板剪刀 材质：合金钢；用途：镀锌板；规格：20寸	有重复但族边界不够清晰，先不固化。
印机	印机	暂作为检索/属性候选	low	3	3	3	是	电气电料/电线电缆:2；清洁办公后勤/办公用品:1	多功能打印机；打印机数据线；打印机电源线	多功能打印机；打印机数据线；打印机电源线	ADMIN-000015 打印机电源线 适用设备：打印机；类型：电源线；ADMIN-000016 打印机数据线 适用设备：打印机；类型：数据线；ADMIN-000022 多功能打印机 品牌：惠普；类型：多功能	有重复但族边界不够清晰，先不固化。
压水枪	压水枪	暂作为检索/属性候选	low	3	3	3	是	设备备件/通用机械备件:2；工具量具/手动工具:1	高压水枪；高压水枪滤芯；高压水枪过滤总成	高压水枪；高压水枪滤芯；高压水枪过滤总成	SPARE-000021 高压水枪过滤总成 适用设备：高压水枪；类型：过滤总成；SPARE-000022 高压水枪滤芯 适用设备：高压水枪；类型：滤芯；TOOL-000044 高压水枪 材质：金属；类型：高压水枪	有重复但族边界不够清晰，先不固化。
压清洗机	压清洗机	暂作为检索/属性候选	low	3	3	3	是	设备备件/通用机械备件:2；施工机具设备/清洗设备:1	高压清洗机；高压清洗机喷嘴；高压清洗机滤网	高压清洗机；高压清洗机喷嘴；高压清洗机滤网	MAT-000106 高压清洗机 品牌：黑马；电压：380V；功率：5.5kW；CHEM-000091 高压清洗机滤网 规格：25mm；部件：滤网；MAT-000253 高压清洗机喷嘴 角度：0度	有重复但族边界不够清晰，先不固化。
反光	反光	暂作为检索/属性候选	low	3	3	3	否	安全消防/警示标识:3	反光警示带；警示反光胶带；警示反光踢脚板	反光警示带；警示反光胶带；警示反光踢脚板	SAFE-000065 反光警示带 宽度：10cm；颜色：黄黑；功能：反光；SAFE-000125 警示反光胶带 品牌：3M；用途：警示；长度：50m；SAFE-000126 警示反光踢脚板 用途：警示反光；规格：30cm	有重复但族边界不够清晰，先不固化。
变频	变频	暂作为检索/属性候选	low	3	3	3	是	清洁办公后勤/生活用品:1；施工机具设备/泵类设备:1；电气电料/低压电器:1	变频器操作面板；变频空调；变频自吸泵	变频器操作面板；变频空调；变频自吸泵	MAT-000056 变频空调 品牌：格力；匹数：3匹；类型：变频；SPARE-000106 变频自吸泵 功率：1.5kW；控制：全自动变频；类型：自吸泵；CONST-000025 变频器操作面板 适配设备：变频器；部件：操作面板	有重复但族边界不够清晰，先不固化。
号电	号电	暂作为检索/属性候选	low	3	3	3	否	电气电料/电气辅材:2；电气电料/电线电缆:1	5号电池；7号电池；屏蔽信号电缆	5号电池；7号电池；屏蔽信号电缆	ELEC-000104 屏蔽信号电缆 规格：3*1.5；类型：信号屏蔽；ELEC-000188 5号电池 品牌：南孚；规格：5号；ELEC-000231 7号电池 品牌：南孚；规格：7号	有重复但族边界不够清晰，先不固化。
垫块	垫块	暂作为检索/属性候选	low	3	3	3	是	定制加工件/橡胶加工件:1；设备备件/通用机械备件:1；吊装索具/支垫件:1	合成纤维垫块；吊车垫块；橡胶垫块	合成纤维垫块；吊车垫块；橡胶垫块	CHEM-000057 橡胶垫块 尺寸：260*330*5mm；加工：是；SPARE-000096 合成纤维垫块 尺寸：86*65；材质：合成纤维；MAT-000190 吊车垫块 用途：吊车；载荷：大吨位；尺寸：500*500*60mm	有重复但族边界不够清晰，先不固化。
外接头	外接头	暂作为检索/属性候选	low	3	3	2	是	管材管件阀门/直接:2；液压气动/液压接头:1	液压接头；直接/接头	外接头；镀锌外接头；高压外接头	PIPE-000112 外接头 规格：4分；类型：外接头；PIPE-000137 高压外接头 公称直径：50；连接类型：外接；PIPE-000142 镀锌外接头 公称直径：50；连接：外接；表面：镀锌	有重复但族边界不够清晰，先不固化。
夹头	夹头	暂作为检索/属性候选	low	3	3	3	是	电动气动工具/工具附件:2；吊装索具/钢丝绳:1	电钻夹头钥匙；自紧钻夹头；钢丝绳夹头	电钻夹头钥匙；自紧钻夹头；钢丝绳夹头	METAL-000037 钢丝绳夹头 规格：M10；TOOL-000289 电钻夹头钥匙 适配：电钻夹头；部件：钥匙；TOOL-000319 自紧钻夹头 品牌：马牌；夹持范围：0.3-16；接口：B18	有重复但族边界不够清晰，先不固化。
宝塔	宝塔	暂作为检索/属性候选	low	3	3	3	是	液压气动/液压接头:1；工具耗材/钻头:1；管材管件阀门/阀门:1	开孔器；液压接头；阀门	不锈钢宝塔球阀；宝塔钻头开孔器；转换宝塔接头	PIPE-000312 转换宝塔接头 类型：宝塔头；用途：转换接头；TOOL-000271 宝塔钻头开孔器 类型：宝塔钻头/开孔器；规格范围：4-52；METAL-000149 不锈钢宝塔球阀 材质：304不锈钢；规格：2分-12mm；连接：宝塔	有重复但族边界不够清晰，先不固化。
底盒	底盒	暂作为检索/属性候选	low	3	3	3	否	电气电料/电气辅材:3	开关底盒；插座底盒；明装底盒	开关底盒；插座底盒；明装底盒	ELEC-000056 插座底盒 类型：插座底盒；ELEC-000107 明装底盒 安装：明装；类型：底盒；ELEC-000206 开关底盒 品牌：公牛；安装方式：明装；部件：底盒底座	有重复但族边界不够清晰，先不固化。
手电	手电	暂作为检索/属性候选	low	3	3	3	是	工具量具/手动工具:1；电动气动工具/电动工具:1；电气电料/照明灯具:1	LED强光手电筒；强光手电筒；锂电手电钻套装	LED强光手电筒；强光手电筒；锂电手电钻套装	TOOL-000269 强光手电筒 类型：强光手电筒；TOOL-000292 锂电手电钻套装 品牌：东成；供电：锂电；配置：二电一充；TOOL-000339 LED强光手电筒 供电方式：充电式；光源：LED；类型：强光	有重复但族边界不够清晰，先不固化。
打印	打印	暂作为检索/属性候选	low	3	3	3	是	电气电料/电线电缆:2；清洁办公后勤/办公用品:1	多功能打印机；打印机数据线；打印机电源线	多功能打印机；打印机数据线；打印机电源线	ADMIN-000015 打印机电源线 适用设备：打印机；类型：电源线；ADMIN-000016 打印机数据线 适用设备：打印机；类型：数据线；ADMIN-000022 多功能打印机 品牌：惠普；类型：多功能	有重复但族边界不够清晰，先不固化。
打印机	打印机	暂作为检索/属性候选	low	3	3	3	是	电气电料/电线电缆:2；清洁办公后勤/办公用品:1	多功能打印机；打印机数据线；打印机电源线	多功能打印机；打印机数据线；打印机电源线	ADMIN-000015 打印机电源线 适用设备：打印机；类型：电源线；ADMIN-000016 打印机数据线 适用设备：打印机；类型：数据线；ADMIN-000022 多功能打印机 品牌：惠普；类型：多功能	有重复但族边界不够清晰，先不固化。
扣件	扣件	暂作为检索/属性候选	low	3	3	3	否	紧固件与连接件/卡扣:3	万向扣件；十字扣件；直接扣件	万向扣件；十字扣件；直接扣件	CONST-000035 万向扣件 类型：万向扣件；CONST-000036 十字扣件 类型：十字扣件；CONST-000037 直接扣件 类型：直接扣件	有重复但族边界不够清晰，先不固化。
护罩	护罩	暂作为检索/属性候选	low	3	3	3	是	定制加工件/金属加工件:1；电动气动工具/工具附件:1；定制加工件/图纸件:1	切割机防护罩；水泵防护罩；防护罩加工件	切割机防护罩；水泵防护罩；防护罩加工件	SPARE-000089 水泵防护罩 定制：是；材质：不锈钢；尺寸：60*90；TOOL-000206 切割机防护罩 适配设备：400切割机；部件：防护罩；SAFE-000119 防护罩加工件 定制：是；尺寸：1.2m*2.7m*0.8m	有重复但族边界不够清晰，先不固化。
控制	控制	暂作为检索/属性候选	low	3	3	3	是	电气电料/电气箱柜:1；定制加工件/图纸件:1；电气电料/低压电器:1	不锈钢控制箱；双门控制箱；水泵自动控制开关	不锈钢控制箱；双门控制箱；水泵自动控制开关	MAT-000071 双门控制箱 定制：是；结构：双门；METAL-000065 不锈钢控制箱 定制：是；材质：不锈钢；SPARE-000141 水泵自动控制开关 用途：水泵自动控制	有重复但族边界不够清晰，先不固化。
摄像	摄像	暂作为检索/属性候选	low	3	3	3	否	弱电安防/监控设备:3	变焦摄像头；太阳能4G摄像头；监控摄像头	变焦摄像头；太阳能4G摄像头；监控摄像头	ELEC-000047 太阳能4G摄像头 供电：太阳能；通信：4G；清晰度：4K；MAT-000160 监控摄像头 通信：4G；供电：太阳能；清晰度：4K；存储：30天循环；MAT-000206 变焦摄像头 功能：变焦	有重复但族边界不够清晰，先不固化。
摄像头	摄像头	暂作为检索/属性候选	low	3	3	3	否	弱电安防/监控设备:3	变焦摄像头；太阳能4G摄像头；监控摄像头	变焦摄像头；太阳能4G摄像头；监控摄像头	ELEC-000047 太阳能4G摄像头 供电：太阳能；通信：4G；清晰度：4K；MAT-000160 监控摄像头 通信：4G；供电：太阳能；清晰度：4K；存储：30天循环；MAT-000206 变焦摄像头 功能：变焦	有重复但族边界不够清晰，先不固化。
方形	方形	暂作为检索/属性候选	low	3	3	3	是	电气电料/照明灯具:1；定制加工件/钢筋加工件:1；管材管件阀门/水暖五金:1	LED防爆机床方形灯；方形集水斗；钢筋方形箍	LED防爆机床方形灯；方形集水斗；钢筋方形箍	ELEC-000040 LED防爆机床方形灯 长度：1220MM；类型：LED；功能：防爆；形状：方形；用途：机床；METAL-000041 钢筋方形箍 加工：是；钢筋规格：12；形状：方形箍；PIPE-000099 方形集水斗 品牌：公元；规格：110；形状：方形	有重复但族边界不够清晰，先不固化。
无缝管加	无缝管加	暂作为检索/属性候选	low	3	3	2	否	定制加工件/管路接头:2；定制加工件/金属加工件:1	定制管路接头；无缝管加工件	单头外丝无缝管加工件；双外丝无缝管加工件；无缝管加工件	PIPE-000126 无缝管加工件 加工：是；规格：325*12；长度：12米；PIPE-000191 双外丝无缝管加工件 加工：是；材质/形态：无缝管；连接：两头外丝；PIPE-000210 单头外丝无缝管加工件 加工：是；形态：无缝管；连接：单头外丝	有重复但族边界不够清晰，先不固化。
